ds,y
2017-03-16,2443.5416666666665
2017-03-17,2532.875
2017-03-18,2717.875
2017-03-19,2737.958333333333
2017-03-20,2569.208333333333
2017-03-21,2473.5416666666665
2017-03-22,2483.7916666666665
2017-03-23,2514.9166666666665
2017-03-24,2609.083333333333
2017-03-25,2770.875
2017-03-26,2808.333333333333
2017-03-27,2670.5
2017-03-28,2601.708333333333
2017-03-29,2625.458333333333
2017-03-30,2665.083333333333
2017-03-31,2779.333333333333
2017-04-01,2942.708333333333
2017-04-02,2927.25
2017-04-03,2733.2916666666665
2017-04-04,2650.7916666666665
2017-04-05,2676.4166666666665
2017-04-06,2682.625
2017-04-07,2723.9166666666665
2017-04-08,2793.208333333333
2017-04-09,2716.5416666666665
2017-04-10,2504.958333333333
2017-04-11,2376.9166666666665
2017-04-12,2365.6666666666665
2017-04-13,2389.291666666667
2017-04-14,2493.0
2017-04-15,2682.5833333333335
2017-04-16,2701.8333333333335
2017-04-17,2523.541666666667
2017-04-18,2443.0416666666665
2017-04-19,2463.1666666666665
2017-04-20,2544.375
2017-04-21,2710.208333333333
2017-04-22,2891.458333333333
2017-04-23,2914.0416666666665
2017-04-24,2749.0416666666665
2017-04-25,2681.708333333333
2017-04-26,2718.1666666666665
2017-04-27,2747.5833333333335
2017-04-28,2851.333333333333
2017-04-29,3024.708333333333
2017-04-30,3033.2916666666665
2017-05-01,2859.4166666666665
2017-05-02,2787.7916666666665
2017-05-03,2817.083333333333
2017-05-04,2838.5416666666665
2017-05-05,2918.1249999999995
2017-05-06,3069.625
2017-05-07,3039.0416666666665
2017-05-08,2810.375
2017-05-09,2687.083333333333
2017-05-10,2667.083333333333
2017-05-11,2649.583333333333
2017-05-12,2717.083333333333
2017-05-13,2867.375
2017-05-14,2840.833333333333
2017-05-15,2638.5
2017-05-16,2452.0
2017-05-17,2404.5416666666665
2017-05-18,2485.708333333333
2017-05-19,2626.875
2017-05-20,2830.083333333333
2017-05-21,2846.583333333333
2017-05-22,2677.458333333333
2017-05-23,2673.333333333333
2017-05-24,2820.625
2017-05-25,2968.7916666666665
2017-05-26,3176.4166666666665
2017-05-27,3435.208333333333
2017-05-28,3578.75
2017-05-29,3480.1249999999995
2017-05-30,3406.083333333333
2017-05-31,3490.7916666666665
2017-06-01,3583.0
2017-06-02,3743.333333333333
2017-06-03,3983.166666666666
2017-06-04,3953.2083333333335
2017-06-05,3640.4166666666665
2017-06-06,3492.083333333333
2017-06-07,3502.708333333333
2017-06-08,3495.7499999999995
2017-06-09,3582.666666666666
2017-06-10,3769.1666666666665
2017-06-11,3713.375
2017-06-12,3417.333333333333
2017-06-13,3276.875
2017-06-14,3300.083333333333
2017-06-15,3318.3749999999995
2017-06-16,3445.7499999999995
2017-06-17,3674.083333333333
2017-06-18,3639.666666666666
2017-06-19,3368.1249999999995
2017-06-20,3281.1666666666665
2017-06-21,3365.0416666666665
2017-06-22,3444.333333333333
2017-06-23,3607.458333333333
2017-06-24,3864.583333333333
2017-06-25,3861.2916666666665
2017-06-26,3584.5416666666665
2017-06-27,3355.25
2017-06-28,3281.0
2017-06-29,3320.041666666666
2017-06-30,3448.875
2017-07-01,3646.041666666666
2017-07-02,3592.041666666666
2017-07-03,3299.75
2017-07-04,3124.3749999999995
2017-07-05,3064.916666666667
2017-07-06,2990.25
2017-07-07,3048.0416666666665
2017-07-08,3195.208333333333
2017-07-09,3205.083333333333
2017-07-10,3026.625
2017-07-11,2889.1666666666665
2017-07-12,2920.1666666666665
2017-07-13,2983.333333333333
2017-07-14,3115.1666666666665
2017-07-15,3302.833333333333
2017-07-16,3291.208333333333
2017-07-17,3098.5
2017-07-18,3059.625
2017-07-19,3137.458333333333
2017-07-20,3251.375
2017-07-21,3444.875
2017-07-22,3650.583333333333
2017-07-23,3625.708333333333
2017-07-24,3362.375
2017-07-25,3217.6666666666665
2017-07-26,3214.458333333333
2017-07-27,3226.791666666667
2017-07-28,3336.75
2017-07-29,3497.125
